ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Burnout_Symptoms,Location
56,64,0,3,2,13,154292.11,37,1.73,4,3,1,0,7.2,5.9,10,6,1,0,3,8,3,90,1,0
57,52,2,1,0,30,151697.64,37,0.66,2,1,0,1,4.3,3.1,3,0,26,9,0,4,8,11,2,3
58,31,1,1,2,13,139824.72,84,2.46,0,0,0,3,8.3,8.0,10,10,3,1,0,4,4,62,1,3
59,34,0,0,2,13,108133.43,49,1.69,10,0,2,2,4.6,7.7,1,4,30,5,8,9,8,73,1,1
60,53,2,3,2,5,195445.65,74,2.69,0,2,0,5,7.9,6.6,0,3,26,4,9,0,2,51,1,3
61,57,2,1,1,24,66771.13,87,1.18,1,0,1,5,6.4,6.5,6,5,4,0,5,4,0,24,0,3
62,21,1,3,0,27,167364.95,59,1.97,10,3,2,4,4.3,7.6,2,2,10,2,1,10,9,75,2,0
63,19,1,1,3,16,44360.88,40,2.58,10,1,0,4,8.7,0.6,2,3,13,9,3,10,8,92,2,3
64,23,0,1,4,3,121761.02,61,1.4,7,3,2,5,5.7,0.3,5,9,23,5,8,3,9,98,2,1
65,59,0,1,3,27,86111.0,42,1.93,2,3,1,4,4.3,7.3,7,3,20,9,7,5,5,61,0,0
66,21,1,1,2,6,95979.87,87,2.16,5,3,0,1,4.4,8.1,2,4,5,5,8,9,0,1,1,2
67,46,1,2,2,5,119986.68,49,1.81,8,0,1,5,7.0,9.7,4,7,11,4,9,3,2,100,0,1
68,35,2,0,4,36,20978.38,70,1.09,1,3,1,3,6.9,1.1,0,5,5,4,8,8,10,78,2,1
69,43,0,3,0,28,60717.11,84,2.84,10,2,0,1,6.6,2.3,2,8,13,7,9,4,0,41,0,3
70,61,2,1,2,27,143883.26,67,1.97,0,0,0,4,4.2,8.7,2,3,21,6,4,6,10,16,0,0
71,51,1,1,1,18,169063.79,66,0.48,0,2,0,0,4.7,7.6,5,10,21,0,9,5,4,54,1,1
72,27,1,1,5,13,52609.62,44,0.73,9,0,2,1,6.1,8.0,8,1,20,3,9,7,7,86,2,0
73,53,1,0,1,12,104996.74,39,0.98,9,0,0,1,6.9,3.8,5,6,28,2,7,3,6,98,2,2
74,31,0,3,3,28,55002.11,54,2.8,2,3,2,4,8.7,8.7,8,4,30,2,4,0,1,19,1,0
75,48,1,0,1,34,118425.87,58,1.25,10,3,0,1,8.1,6.0,2,9,24,6,6,0,8,43,0,3
76,65,1,0,3,40,127783.75,82,1.31,8,1,1,1,8.8,8.1,4,5,2,6,3,6,5,40,2,2
77,32,0,1,2,1,44802.36,35,1.91,9,2,2,5,7.4,7.0,1,1,15,9,1,4,9,67,0,3
78,25,1,3,1,1,147633.19,52,1.06,4,2,1,2,6.5,2.4,6,3,25,2,3,6,4,39,2,0
79,31,0,1,1,25,194855.26,84,1.66,1,2,0,2,7.4,7.7,9,0,16,3,4,1,2,93,1,2
80,40,1,0,4,0,178426.13,85,0.53,4,2,0,1,5.5,0.9,6,3,1,9,9,0,4,100,2,0
81,57,0,2,3,27,167462.7,59,1.92,1,3,1,5,6.5,9.3,1,10,22,9,9,7,5,80,2,3
82,38,0,2,4,36,164239.76,51,1.61,4,3,1,1,5.8,6.3,10,7,11,10,6,1,4,12,0,3
83,33,0,0,0,33,112750.08,84,1.35,10,0,1,2,5.1,8.3,1,3,3,5,10,8,7,88,1,2
84,62,0,1,5,23,179080.12,72,1.56,8,0,1,0,4.4,7.6,8,4,22,8,0,6,7,37,1,3
85,35,2,1,4,28,148303.48,68,0.48,0,3,2,5,5.9,8.0,0,3,17,7,0,1,2,19,0,0
86,64,0,3,1,27,59129.27,41,1.36,2,2,0,1,4.1,3.0,4,5,6,9,8,3,3,41,2,1
87,41,0,3,1,33,47560.11,81,1.93,9,3,2,0,7.4,8.8,9,10,27,1,9,4,1,31,0,0
88,43,0,2,0,32,86844.01,77,0.33,1,3,1,4,8.1,1.1,5,0,13,3,9,8,10,29,2,0
89,42,0,1,3,37,38912.44,36,0.24,9,0,0,3,8.9,7.0,6,6,20,10,4,4,6,50,0,0
90,62,1,0,3,33,39679.75,87,0.66,2,2,2,5,5.9,7.0,0,2,12,9,7,4,9,10,2,0
91,58,1,1,5,4,108879.78,80,2.61,8,2,1,2,8.4,8.7,10,6,3,4,3,10,3,78,1,0
92,46,0,1,3,29,102378.25,76,0.47,8,3,2,1,4.3,4.8,10,9,26,0,5,9,8,34,0,2
93,32,0,0,0,21,174554.37,63,2.82,3,2,0,4,7.7,0.9,7,5,6,4,2,4,2,59,0,2
94,62,2,2,2,2,62490.97,54,0.38,1,1,1,5,7.3,3.1,6,5,8,4,9,10,4,49,1,0
95,18,0,0,2,28,194414.08,50,2.38,0,3,2,1,8.8,1.7,7,0,15,10,2,0,1,61,1,3
96,42,0,1,0,30,48237.0,76,0.67,7,2,1,0,6.5,3.5,10,5,4,3,8,9,0,61,1,0
97,24,0,0,4,29,164019.86,73,1.87,6,3,2,4,6.8,7.1,2,4,15,6,1,8,1,82,2,3
98,26,1,3,0,28,162413.97,40,0.17,5,3,1,2,7.0,5.6,6,3,11,6,4,7,2,54,1,2
99,41,0,3,2,30,95261.49,49,2.97,2,0,2,4,7.7,1.0,2,10,0,5,7,10,4,36,2,3
100,18,0,3,5,23,183055.26,37,1.11,5,3,0,2,5.7,0.2,8,10,4,9,10,9,7,54,1,0
101,61,2,3,5,40,28431.25,86,1.27,0,0,2,0,7.4,6.5,6,10,30,4,4,4,9,90,0,3
102,25,1,0,2,22,113334.08,45,0.94,10,0,1,1,8.0,5.2,4,4,29,8,1,1,6,72,2,1
103,41,2,2,4,37,49272.62,79,0.98,9,0,0,0,8.6,4.9,10,1,21,6,3,7,6,11,0,1
104,28,0,2,1,33,72498.46,83,2.49,9,1,0,4,8.9,6.6,5,6,8,2,7,1,7,42,1,3
105,34,2,3,1,23,25339.18,44,2.24,10,2,2,2,6.8,3.8,4,7,18,3,3,2,3,54,0,3
106,25,0,1,1,24,118945.61,42,0.45,9,0,2,2,5.0,6.8,1,5,27,5,0,8,5,43,1,2
107,52,0,0,3,1,88323.54,60,2.91,5,3,1,2,4.8,5.5,6,0,1,4,3,1,1,76,1,3
108,52,1,1,2,5,33097.02,73,0.62,1,3,1,0,8.1,4.5,9,4,5,6,9,5,1,37,1,1
109,50,2,3,0,40,140415.75,49,2.07,10,1,1,5,4.8,4.8,4,6,19,1,5,10,6,54,2,1
110,22,0,0,4,31,196811.02,89,2.96,0,3,1,2,5.8,0.7,3,5,21,9,5,6,4,53,2,1
111,59,2,3,2,12,43293.5,36,2.81,8,1,0,4,6.9,7.1,2,6,9,5,9,10,1,54,0,2
112,56,1,0,1,15,86454.99,75,2.9,8,2,2,0,8.1,7.5,4,0,14,4,10,9,7,83,1,3
113,58,0,3,4,25,98415.61,88,2.16,7,3,2,5,7.6,1.0,9,5,16,7,3,6,8,67,0,3
114,45,1,2,0,9,104133.46,35,0.36,9,1,1,4,5.3,4.2,2,2,10,10,2,7,9,88,0,1
115,24,2,0,2,3,38789.63,82,0.08,4,3,0,4,7.2,8.2,3,0,20,1,8,0,4,16,2,3
116,26,2,2,0,13,69250.44,89,0.99,0,1,1,0,8.7,4.7,2,1,29,4,9,6,9,34,1,0
117,25,2,3,2,23,96072.35,60,0.7,5,3,1,1,4.1,2.4,9,10,12,5,8,7,6,30,2,3
118,29,0,0,2,37,97257.82,38,1.71,1,3,2,2,5.1,3.5,4,9,28,2,10,3,8,1,1,0
119,51,0,1,1,36,89597.11,75,2.11,5,2,2,2,5.0,5.6,9,4,12,2,5,4,6,12,0,3
120,50,0,1,4,38,174602.29,48,1.36,9,1,2,5,8.0,2.9,9,0,7,6,8,1,3,59,0,0
121,65,1,0,5,22,99221.7,84,1.36,4,2,2,4,5.1,0.9,2,3,24,2,7,10,0,33,2,2
122,40,2,2,5,10,126261.68,71,1.64,5,2,1,1,7.1,7.4,6,1,3,8,4,6,9,24,0,1
123,41,2,3,5,7,159958.66,75,1.76,7,3,0,0,7.6,1.7,3,8,3,10,8,4,8,99,0,1
124,54,2,2,1,5,24829.34,81,2.09,10,1,2,1,8.0,1.5,0,7,1,5,3,1,3,82,2,2
125,52,1,2,2,33,194413.74,67,0.85,8,0,2,5,7.8,5.0,7,0,23,8,0,0,9,93,1,0
126,61,0,0,1,36,130179.29,53,2.21,0,0,0,1,6.4,7.0,3,2,25,2,5,10,5,29,0,1
127,57,1,1,2,32,160497.21,41,2.65,2,0,0,5,4.1,3.9,6,3,7,9,2,7,3,22,2,1
128,39,2,3,5,9,91276.98,82,1.29,0,2,2,1,4.0,8.8,6,0,27,4,2,0,5,82,2,0
129,44,2,2,5,35,166937.94,84,2.85,4,0,1,1,5.4,1.4,7,8,28,0,10,9,5,96,2,0
130,52,1,1,1,6,109066.48,53,1.8,7,0,2,2,7.6,3.7,9,2,28,2,10,2,3,79,1,1
131,18,0,2,2,16,30757.15,67,2.82,4,2,1,1,8.8,8.7,4,1,29,0,3,4,9,69,0,1
132,52,0,0,5,19,67262.43,88,1.7,6,1,1,3,8.4,4.0,2,10,6,9,1,6,7,5,1,2
133,54,2,0,3,27,22260.72,42,2.47,3,3,2,4,7.1,1.1,4,10,29,8,4,10,10,44,0,1
134,64,1,2,3,23,187696.69,84,1.05,0,3,1,2,8.5,2.4,3,9,8,1,7,0,1,23,1,2
135,31,0,1,5,37,169315.98,75,0.53,5,3,0,4,8.6,2.3,7,4,25,2,4,8,6,77,0,2
136,20,1,2,0,8,197599.63,39,1.94,4,3,0,1,8.1,2.1,2,2,3,1,0,4,4,95,2,1
137,18,2,3,2,29,75642.73,51,1.19,6,1,1,4,6.4,2.4,6,3,11,9,2,4,6,18,2,2
138,22,2,2,1,38,41022.52,80,1.19,10,2,2,4,9.0,8.0,7,4,18,4,9,4,5,87,2,2
139,43,2,3,2,35,182181.78,82,1.07,1,2,0,0,8.8,1.1,0,3,16,7,9,3,2,35,2,1
140,31,2,2,1,16,102617.26,51,1.38,10,0,1,3,6.2,4.4,8,2,19,1,0,8,5,14,2,2
141,56,0,3,0,15,26003.53,38,0.03,5,2,2,2,4.7,3.6,6,6,13,7,3,10,8,93,2,3
142,44,2,1,5,33,26441.98,49,1.18,8,2,1,1,7.4,2.3,7,10,27,6,1,10,8,37,2,0
143,26,0,2,5,6,30795.96,81,0.05,1,3,1,3,7.7,3.3,7,6,20,9,4,7,10,51,0,3
144,32,0,2,5,26,177287.81,82,1.17,0,0,1,0,4.6,6.0,10,9,0,5,10,2,10,11,1,3
145,32,1,3,2,6,20212.37,42,0.87,5,2,2,4,4.0,1.3,8,7,30,8,3,10,10,97,1,0
146,43,2,0,0,31,175849.79,72,0.88,5,0,1,0,7.4,3.1,3,1,24,7,9,3,4,88,2,3
147,59,0,1,1,15,38475.47,56,0.99,5,3,2,1,5.4,5.3,10,7,6,5,2,2,3,61,2,0
148,30,1,0,4,18,159015.86,35,0.7,4,2,1,4,9.0,9.6,2,5,10,1,1,4,9,39,2,3
149,49,1,0,5,25,124839.79,62,2.64,5,2,0,4,7.3,0.9,0,1,24,10,6,1,0,50,2,1
150,56,2,2,1,0,176194.1,71,1.74,5,0,0,0,4.1,4.0,0,4,4,1,2,3,4,29,0,2
151,49,2,2,0,29,150774.33,61,2.88,2,2,1,3,4.8,5.9,2,4,4,8,10,7,0,78,1,3
152,21,1,2,2,14,151474.24,35,1.42,4,0,2,0,5.9,4.9,7,4,18,6,2,0,0,93,1,1
153,47,0,0,2,2,25381.02,39,2.95,7,3,2,5,8.3,10.0,6,10,15,0,9,10,10,19,1,1
154,54,2,1,0,19,177304.53,56,0.08,5,2,2,5,5.9,5.0,0,3,9,2,3,0,0,84,0,2
155,40,1,3,2,18,72923.79,84,1.79,4,2,1,3,8.9,8.9,9,1,0,8,2,5,6,62,0,1
156,56,1,3,3,26,194622.23,35,2.44,2,3,1,5,5.5,3.5,2,4,6,5,4,4,2,85,2,0
157,62,0,3,5,0,57601.31,66,1.68,4,0,2,2,4.0,7.2,6,10,18,7,2,6,1,12,0,0
158,32,0,1,4,12,82967.69,88,0.21,4,2,0,5,6.9,6.8,1,3,28,7,2,0,8,11,1,0
159,60,1,0,0,32,59141.13,40,0.59,3,3,0,4,7.9,8.8,5,1,26,1,0,4,5,46,2,3
160,46,0,0,4,23,186326.22,68,2.28,10,3,1,2,4.7,3.6,5,3,16,6,8,1,6,34,1,2
161,53,2,1,0,10,69389.05,44,2.91,2,3,2,2,5.0,7.0,4,1,26,2,9,3,10,48,0,2
162,30,1,2,4,4,167433.13,88,0.54,3,1,1,3,4.7,3.3,5,2,19,9,9,1,1,89,0,2
163,49,0,1,1,31,186482.82,67,2.77,1,0,0,4,8.7,6.4,6,4,20,9,3,9,3,74,0,3
164,24,0,0,0,34,172197.06,65,1.08,8,3,0,2,8.2,4.4,10,7,15,7,6,3,6,15,2,1
165,39,0,3,2,18,194680.91,70,2.89,10,1,2,0,4.5,0.7,0,1,15,3,8,3,8,92,0,1
166,45,0,3,4,0,121225.88,67,1.85,1,2,0,3,4.7,4.8,3,4,2,8,10,4,9,91,2,0
167,19,1,3,1,14,91408.59,76,0.74,4,3,1,1,5.5,5.4,4,6,22,0,4,6,0,99,1,0
168,59,0,2,1,18,162732.45,84,2.87,8,1,2,2,5.3,4.1,7,2,6,3,2,10,9,20,2,2
169,62,2,2,5,3,90434.22,83,1.98,10,1,2,5,4.4,9.8,9,2,13,4,8,9,10,84,1,2
170,23,2,1,1,24,71943.57,43,2.09,10,2,1,4,6.3,9.9,8,7,15,1,7,6,9,32,0,0
171,45,1,3,2,35,157192.06,47,2.72,7,3,2,4,4.4,4.9,0,3,10,1,4,2,2,85,2,3
172,45,1,2,1,7,119755.29,79,1.24,8,0,2,4,5.4,2.2,8,2,11,8,9,6,6,36,2,0
173,61,2,0,4,25,140046.66,62,1.91,0,0,0,3,4.5,3.6,2,7,2,4,5,5,8,1,1,3
174,61,2,1,2,35,183314.31,83,0.82,10,3,0,5,4.3,5.4,10,3,0,9,4,4,0,35,2,0
175,37,1,0,5,17,178409.21,49,0.22,6,1,2,2,5.1,1.0,8,10,17,2,10,5,8,31,0,3
176,47,2,0,0,27,184279.56,65,0.06,8,3,0,4,4.7,3.2,9,9,10,7,9,4,7,31,1,3
177,28,2,3,2,32,39929.32,55,0.21,1,0,0,3,7.7,4.0,4,6,22,1,8,2,8,87,2,1
178,45,1,0,0,35,184596.8,57,1.43,9,1,1,2,8.6,2.4,1,7,14,3,6,1,0,4,1,1
179,42,1,3,0,4,154604.97,79,0.15,10,2,1,0,4.4,7.4,8,8,5,6,0,5,7,30,0,0
180,56,0,1,0,35,31206.51,48,1.19,2,2,0,1,8.1,9.3,3,0,17,4,2,6,10,64,1,3
181,50,0,0,0,27,87973.49,77,2.88,8,3,1,2,6.9,3.8,1,2,23,3,10,4,1,2,1,2
182,18,2,3,5,16,191535.05,48,0.57,9,2,2,3,7.6,4.8,0,5,22,3,8,8,5,20,0,1
183,44,1,0,2,13,86602.86,71,2.16,3,3,1,1,7.2,7.6,6,3,19,7,8,9,1,54,2,3
184,30,0,2,5,28,192419.79,46,1.66,7,3,1,3,4.5,5.2,7,10,3,9,3,1,7,53,2,1
185,58,2,2,5,14,184654.63,86,1.22,9,1,1,4,5.6,3.7,5,7,4,3,2,10,4,36,0,1
186,20,2,0,3,2,141310.75,84,0.44,0,1,0,3,8.8,2.5,0,6,13,7,3,5,7,58,2,3
187,56,2,2,3,2,59135.35,45,2.06,4,3,0,4,7.7,1.0,8,5,30,10,9,4,6,48,1,2
188,23,2,1,1,18,141461.18,72,2.36,4,2,2,0,7.6,4.4,1,1,17,0,8,0,8,2,0,1
189,25,1,2,4,32,30853.65,66,0.65,4,0,2,2,7.5,2.3,7,5,1,7,2,8,4,79,0,3
190,44,2,1,4,35,82367.52,42,0.6,8,3,0,5,7.6,2.4,4,1,26,9,1,0,5,18,1,1
191,26,0,3,5,25,37497.33,67,0.4,7,0,1,1,8.5,7.8,1,9,13,7,5,2,2,84,2,0
192,54,1,1,4,38,168912.89,80,0.86,10,1,2,2,5.6,5.8,9,6,3,1,7,0,2,8,2,3
193,50,2,3,1,15,151204.01,58,1.42,9,2,0,1,4.1,2.9,9,4,4,4,1,7,3,25,0,0
194,59,0,2,4,23,32600.92,58,2.28,9,3,1,5,8.9,0.6,8,10,9,7,10,9,6,16,1,0
195,61,0,3,2,28,199058.27,56,1.82,4,3,1,2,7.0,4.8,6,9,19,6,9,9,4,53,0,0
196,41,1,2,5,39,48093.86,69,2.43,3,3,0,0,4.5,6.1,4,6,21,7,10,10,5,26,2,3
197,32,1,3,5,26,27332.98,69,1.53,10,2,1,1,5.0,1.5,4,5,7,0,4,7,8,34,1,1
198,49,1,1,3,6,89891.94,57,2.77,10,2,0,0,8.6,4.1,10,0,6,7,5,5,6,95,0,1
199,49,0,0,5,8,87125.72,50,0.53,9,3,2,1,5.2,1.8,10,9,14,6,6,4,5,52,2,3
200,41,0,0,0,38,128774.68,69,0.56,4,3,2,0,7.8,2.7,5,2,8,3,6,9,3,74,1,1
201,58,2,0,5,3,90556.19,82,1.75,3,0,2,1,8.1,2.1,3,3,8,0,3,6,1,34,0,1
202,29,1,3,5,36,28377.25,75,1.88,6,3,0,4,4.8,1.1,3,7,9,7,4,3,6,19,2,0
203,56,1,0,5,33,164494.27,60,2.41,9,0,2,3,6.6,0.8,8,2,11,0,9,8,9,89,0,3
204,19,1,2,4,6,112936.04,78,0.36,1,0,2,0,8.1,8.8,6,6,2,4,10,10,0,47,0,0
205,20,1,2,1,3,142646.95,66,1.71,9,3,0,5,4.6,2.5,9,2,29,7,7,2,0,91,0,3
206,54,0,1,1,8,33289.58,62,1.6,4,3,1,0,7.2,4.5,4,2,13,9,7,10,1,8,1,1
207,34,1,3,2,1,135267.35,82,1.84,5,2,1,5,7.7,2.6,7,9,16,7,10,2,10,46,2,0
208,19,0,1,0,26,177826.96,77,0.2,3,1,0,0,7.7,7.4,1,9,26,2,6,8,4,78,2,1
209,19,0,0,0,31,59878.18,73,2.18,6,2,2,3,8.0,9.5,7,3,20,2,6,10,4,65,1,2
210,45,1,3,1,19,115852.57,52,0.6,9,0,0,2,5.8,9.7,1,1,25,5,8,8,0,12,0,1
211,40,0,1,4,20,187414.59,39,0.24,10,1,0,2,6.3,3.7,9,6,12,5,0,6,6,81,2,0
212,54,0,2,5,16,114572.65,90,0.61,7,1,2,5,7.3,9.4,0,1,18,9,5,4,2,90,1,1
213,49,1,0,2,12,100005.63,41,2.39,3,3,0,5,6.3,4.0,4,2,23,5,10,1,9,40,2,0
214,50,1,0,5,23,191731.02,64,0.19,8,1,2,0,8.6,1.2,3,3,20,9,8,9,5,62,2,1
215,18,2,0,2,5,75186.86,77,1.1,6,3,1,4,7.1,6.7,5,2,10,5,10,0,1,73,0,0
216,36,0,1,0,25,45720.99,45,2.22,3,2,2,0,8.4,0.2,2,7,24,6,9,7,6,42,0,1
217,19,0,0,2,31,96891.45,48,0.27,1,1,2,5,6.2,0.6,1,2,14,10,10,1,9,10,0,3
218,61,2,2,5,1,56417.45,57,2.08,1,2,1,5,7.7,9.1,2,7,17,0,4,3,6,75,2,0
219,43,2,0,3,4,44076.3,51,2.71,0,1,1,2,5.9,2.3,2,5,17,0,7,8,7,9,1,3
220,49,1,1,0,4,104825.11,67,1.37,0,1,1,5,4.3,3.6,8,5,2,7,8,6,6,41,2,2
221,23,2,1,1,13,79329.02,46,1.15,5,3,2,4,6.4,4.9,4,3,17,6,3,3,6,18,2,3
222,49,1,0,2,5,71145.38,50,2.37,2,0,2,4,4.7,1.9,1,9,28,2,2,10,7,51,1,1
223,21,1,0,0,19,83118.74,41,2.5,1,2,1,3,4.9,2.1,0,2,16,8,4,9,10,42,1,2
224,28,1,1,4,33,99423.07,70,1.55,5,0,2,3,4.4,9.7,7,5,9,6,4,6,0,2,1,3
225,34,0,2,4,16,84476.33,46,0.24,6,3,2,3,7.8,2.1,1,3,13,3,2,8,5,79,1,3
226,55,0,2,5,2,57567.29,47,0.44,5,0,1,1,8.3,4.1,5,5,2,0,0,9,0,40,0,1
227,41,1,0,3,32,43151.94,57,2.62,3,2,1,5,4.3,0.0,8,5,7,2,10,0,10,67,1,2
228,22,2,0,5,8,85558.83,44,0.1,1,2,0,5,7.9,8.0,2,9,16,5,6,5,6,74,0,1
229,51,0,0,1,5,86914.05,79,2.08,8,3,1,3,7.4,3.7,1,8,5,7,6,1,3,53,2,3
230,23,0,1,4,8,40535.89,69,2.95,5,1,1,3,4.1,7.2,6,1,21,5,0,1,5,74,0,2
